Enrollment
7/14/2020

Year,Level,Division,Grade,Count
"2019 - 2020",DIV,"Isle of Wight County Public Schools",05,415
"2019 - 2020",DIV,"Isle of Wight County Public Schools",06,440
"2019 - 2020",DIV,"Isle of Wight County Public Schools",07,477
"2019 - 2020",DIV,"Isle of Wight County Public Schools",08,423
"2019 - 2020",DIV,"Isle of Wight County Public Schools",09,488
"2019 - 2020",DIV,"Isle of Wight County Public Schools",10,455
"2019 - 2020",DIV,"Isle of Wight County Public Schools",11,453
"2019 - 2020",DIV,"Isle of Wight County Public Schools",12,393
"2019 - 2020",DIV,"King George County Public Schools",,4518
"2019 - 2020",DIV,"King George County Public Schools",PK,96
"2019 - 2020",DIV,"King George County Public Schools",KG,326
"2019 - 2020",DIV,"King George County Public Schools",01,309
"2019 - 2020",DIV,"King George County Public Schools",02,355
"2019 - 2020",DIV,"King George County Public Schools",03,333
"2019 - 2020",DIV,"King George County Public Schools",04,302
"2019 - 2020",DIV,"King George County Public Schools",05,333
"2019 - 2020",DIV,"King George County Public Schools",06,372
"2019 - 2020",DIV,"King George County Public Schools",07,371
"2019 - 2020",DIV,"King George County Public Schools",08,355
"2019 - 2020",DIV,"King George County Public Schools",09,369
"2019 - 2020",DIV,"King George County Public Schools",10,381
"2019 - 2020",DIV,"King George County Public Schools",11,295
"2019 - 2020",DIV,"King George County Public Schools",12,321
"2019 - 2020",DIV,"King William County Public Schools",,2188
"2019 - 2020",DIV,"King William County Public Schools",PK,16
"2019 - 2020",DIV,"King William County Public Schools",KG,145
"2019 - 2020",DIV,"King William County Public Schools",01,160
"2019 - 2020",DIV,"King William County Public Schools",02,141
"2019 - 2020",DIV,"King William County Public Schools",03,155
"2019 - 2020",DIV,"King William County Public Schools",04,164
"2019 - 2020",DIV,"King William County Public Schools",05,139
"2019 - 2020",DIV,"King William County Public Schools",06,189
"2019 - 2020",DIV,"King William County Public Schools",07,184
"2019 - 2020",DIV,"King William County Public Schools",08,162
"2019 - 2020",DIV,"King William County Public Schools",09,210
"2019 - 2020",DIV,"King William County Public Schools",10,162
"2019 - 2020",DIV,"King William County Public Schools",11,173
"2019 - 2020",DIV,"King William County Public Schools",12,188
"2019 - 2020",DIV,"King and Queen County Public Schools",,833
"2019 - 2020",DIV,"King and Queen County Public Schools",PK,32
"2019 - 2020",DIV,"King and Queen County Public Schools",KG,52
"2019 - 2020",DIV,"King and Queen County Public Schools",01,114
"2019 - 2020",DIV,"King and Queen County Public Schools",02,188
"2019 - 2020",DIV,"King and Queen County Public Schools",03,43
"2019 - 2020",DIV,"King and Queen County Public Schools",04,47
"2019 - 2020",DIV,"King and Queen County Public Schools",05,42
"2019 - 2020",DIV,"King and Queen County Public Schools",06,52
"2019 - 2020",DIV,"King and Queen County Public Schools",07,57
"2019 - 2020",DIV,"King and Queen County Public Schools",08,33
"2019 - 2020",DIV,"King and Queen County Public Schools",09,49
"2019 - 2020",DIV,"King and Queen County Public Schools",10,51
"2019 - 2020",DIV,"King and Queen County Public Schools",11,36
"2019 - 2020",DIV,"King and Queen County Public Schools",12,37
"2019 - 2020",DIV,"Lancaster County Public Schools",,1079
"2019 - 2020",DIV,"Lancaster County Public Schools",PK,64
"2019 - 2020",DIV,"Lancaster County Public Schools",KG,60
"2019 - 2020",DIV,"Lancaster County Public Schools",01,59
"2019 - 2020",DIV,"Lancaster County Public Schools",02,74
"2019 - 2020",DIV,"Lancaster County Public Schools",03,73
"2019 - 2020",DIV,"Lancaster County Public Schools",04,90
"2019 - 2020",DIV,"Lancaster County Public Schools",05,72
"2019 - 2020",DIV,"Lancaster County Public Schools",06,65
"2019 - 2020",DIV,"Lancaster County Public Schools",07,83
"2019 - 2020",DIV,"Lancaster County Public Schools",08,69
"2019 - 2020",DIV,"Lancaster County Public Schools",09,98
"2019 - 2020",DIV,"Lancaster County Public Schools",10,92
"2019 - 2020",DIV,"Lancaster County Public Schools",11,89
"2019 - 2020",DIV,"Lancaster County Public Schools",12,91
"2019 - 2020",DIV,"Lee County Public Schools",,3192
"2019 - 2020",DIV,"Lee County Public Schools",PK,213
"2019 - 2020",DIV,"Lee County Public Schools",KG,233
"2019 - 2020",DIV,"Lee County Public Schools",01,209
"2019 - 2020",DIV,"Lee County Public Schools",02,233
"2019 - 2020",DIV,"Lee County Public Schools",03,229
"2019 - 2020",DIV,"Lee County Public Schools",04,233
"2019 - 2020",DIV,"Lee County Public Schools",05,236
"2019 - 2020",DIV,"Lee County Public Schools",06,225
"2019 - 2020",DIV,"Lee County Public Schools",07,233
"2019 - 2020",DIV,"Lee County Public Schools",08,240
"2019 - 2020",DIV,"Lee County Public Schools",09,248
"2019 - 2020",DIV,"Lee County Public Schools",10,242
"2019 - 2020",DIV,"Lee County Public Schools",11,223
"2019 - 2020",DIV,"Lee County Public Schools",12,195
"2019 - 2020",DIV,"Lexington City Public Schools",,503
"2019 - 2020",DIV,"Lexington City Public Schools",PK,0
"2019 - 2020",DIV,"Lexington City Public Schools",KG,50
"2019 - 2020",DIV,"Lexington City Public Schools",01,53
"2019 - 2020",DIV,"Lexington City Public Schools",02,62
"2019 - 2020",DIV,"Lexington City Public Schools",03,60
"2019 - 2020",DIV,"Lexington City Public Schools",04,53
"2019 - 2020",DIV,"Lexington City Public Schools",05,56
"2019 - 2020",DIV,"Lexington City Public Schools",06,51
"2019 - 2020",DIV,"Lexington City Public Schools",07,62
"2019 - 2020",DIV,"Lexington City Public Schools",08,56
"2019 - 2020",DIV,"Loudoun County Public Schools",,83936
"2019 - 2020",DIV,"Loudoun County Public Schools",PG,3
"2019 - 2020",DIV,"Loudoun County Public Schools",PK,844
"2019 - 2020",DIV,"Loudoun County Public Schools",KG,5693
"2019 - 2020",DIV,"Loudoun County Public Schools",01,5803
"2019 - 2020",DIV,"Loudoun County Public Schools",02,6147
"2019 - 2020",DIV,"Loudoun County Public Schools",03,6206
"2019 - 2020",DIV,"Loudoun County Public Schools",04,6256
"2019 - 2020",DIV,"Loudoun County Public Schools",05,6448
"2019 - 2020",DIV,"Loudoun County Public Schools",06,6695
"2019 - 2020",DIV,"Loudoun County Public Schools",07,6787
"2019 - 2020",DIV,"Loudoun County Public Schools",08,6606
"2019 - 2020",DIV,"Loudoun County Public Schools",09,6784
"2019 - 2020",DIV,"Loudoun County Public Schools",10,6778
"2019 - 2020",DIV,"Loudoun County Public Schools",11,6439
"2019 - 2020",DIV,"Loudoun County Public Schools",12,6447
"2019 - 2020",DIV,"Louisa County Public Schools",,4987
"2019 - 2020",DIV,"Louisa County Public Schools",PK,124
"2019 - 2020",DIV,"Louisa County Public Schools",KG,346
"2019 - 2020",DIV,"Louisa County Public Schools",01,372
"2019 - 2020",DIV,"Louisa County Public Schools",02,366
"2019 - 2020",DIV,"Louisa County Public Schools",03,332
"2019 - 2020",DIV,"Louisa County Public Schools",04,371
"2019 - 2020",DIV,"Louisa County Public Schools",05,392
"2019 - 2020",DIV,"Louisa County Public Schools",06,413
"2019 - 2020",DIV,"Louisa County Public Schools",07,392
"2019 - 2020",DIV,"Louisa County Public Schools",08,384
"2019 - 2020",DIV,"Louisa County Public Schools",09,393
"2019 - 2020",DIV,"Louisa County Public Schools",10,377
"2019 - 2020",DIV,"Louisa County Public Schools",11,360
"2019 - 2020",DIV,"Louisa County Public Schools",12,365
"2019 - 2020",DIV,"Lunenburg County Public Schools",,1590
"2019 - 2020",DIV,"Lunenburg County Public Schools",PK,59
"2019 - 2020",DIV,"Lunenburg County Public Schools",KG,118
"2019 - 2020",DIV,"Lunenburg County Public Schools",01,117
"2019 - 2020",DIV,"Lunenburg County Public Schools",02,107
"2019 - 2020",DIV,"Lunenburg County Public Schools",03,110
"2019 - 2020",DIV,"Lunenburg County Public Schools",04,108
"2019 - 2020",DIV,"Lunenburg County Public Schools",05,136
"2019 - 2020",DIV,"Lunenburg County Public Schools",06,124
"2019 - 2020",DIV,"Lunenburg County Public Schools",07,123
"2019 - 2020",DIV,"Lunenburg County Public Schools",08,134
"2019 - 2020",DIV,"Lunenburg County Public Schools",09,138
"2019 - 2020",DIV,"Lunenburg County Public Schools",10,120
"2019 - 2020",DIV,"Lunenburg County Public Schools",11,89
"2019 - 2020",DIV,"Lunenburg County Public Schools",12,107
"2019 - 2020",DIV,"Lynchburg City Public Schools",,8238
"2019 - 2020",DIV,"Lynchburg City Public Schools",PK,305
"2019 - 2020",DIV,"Lynchburg City Public Schools",KG,664
"2019 - 2020",DIV,"Lynchburg City Public Schools",01,614
"2019 - 2020",DIV,"Lynchburg City Public Schools",02,595
"2019 - 2020",DIV,"Lynchburg City Public Schools",03,610
"2019 - 2020",DIV,"Lynchburg City Public Schools",04,585
"2019 - 2020",DIV,"Lynchburg City Public Schools",05,615
"2019 - 2020",DIV,"Lynchburg City Public Schools",06,604
"2019 - 2020",DIV,"Lynchburg City Public Schools",07,627
"2019 - 2020",DIV,"Lynchburg City Public Schools",08,564
"2019 - 2020",DIV,"Lynchburg City Public Schools",09,636
"2019 - 2020",DIV,"Lynchburg City Public Schools",10,643
"2019 - 2020",DIV,"Lynchburg City Public Schools",11,600
"2019 - 2020",DIV,"Lynchburg City Public Schools",12,576
"2019 - 2020",DIV,"Madison County Public Schools",,1726
"2019 - 2020",DIV,"Madison County Public Schools",PK,65
"2019 - 2020",DIV,"Madison County Public Schools",KG,107
"2019 - 2020",DIV,"Madison County Public Schools",01,107
"2019 - 2020",DIV,"Madison County Public Schools",02,106
"2019 - 2020",DIV,"Madison County Public Schools",03,127
"2019 - 2020",DIV,"Madison County Public Schools",04,131
"2019 - 2020",DIV,"Madison County Public Schools",05,122
"2019 - 2020",DIV,"Madison County Public Schools",06,133
"2019 - 2020",DIV,"Madison County Public Schools",07,143
"2019 - 2020",DIV,"Madison County Public Schools",08,144
"2019 - 2020",DIV,"Madison County Public Schools",09,147
"2019 - 2020",DIV,"Madison County Public Schools",10,138
"2019 - 2020",DIV,"Madison County Public Schools",11,114
"2019 - 2020",DIV,"Madison County Public Schools",12,142
"2019 - 2020",DIV,"Manassas City Public Schools",,7789
"2019 - 2020",DIV,"Manassas City Public Schools",PK,261
"2019 - 2020",DIV,"Manassas City Public Schools",KG,579
"2019 - 2020",DIV,"Manassas City Public Schools",01,595
"2019 - 2020",DIV,"Manassas City Public Schools",02,607
"2019 - 2020",DIV,"Manassas City Public Schools",03,561
"2019 - 2020",DIV,"Manassas City Public Schools",04,584
"2019 - 2020",DIV,"Manassas City Public Schools",05,595
"2019 - 2020",DIV,"Manassas City Public Schools",06,588
"2019 - 2020",DIV,"Manassas City Public Schools",07,619
"2019 - 2020",DIV,"Manassas City Public Schools",08,577
"2019 - 2020",DIV,"Manassas City Public Schools",09,553
"2019 - 2020",DIV,"Manassas City Public Schools",10,587
"2019 - 2020",DIV,"Manassas City Public Schools",11,548
"2019 - 2020",DIV,"Manassas City Public Schools",12,535
"2019 - 2020",DIV,"Manassas Park City Public Schools",,3641
"2019 - 2020",DIV,"Manassas Park City Public Schools",PK,135
"2019 - 2020",DIV,"Manassas Park City Public Schools",KG,235
"2019 - 2020",DIV,"Manassas Park City Public Schools",01,227
"2019 - 2020",DIV,"Manassas Park City Public Schools",02,263
"2019 - 2020",DIV,"Manassas Park City Public Schools",03,254
"2019 - 2020",DIV,"Manassas Park City Public Schools",04,249
"2019 - 2020",DIV,"Manassas Park City Public Schools",05,301
"2019 - 2020",DIV,"Manassas Park City Public Schools",06,278
"2019 - 2020",DIV,"Manassas Park City Public Schools",07,291
"2019 - 2020",DIV,"Manassas Park City Public Schools",08,295
"2019 - 2020",DIV,"Manassas Park City Public Schools",09,298
"2019 - 2020",DIV,"Manassas Park City Public Schools",10,304
"2019 - 2020",DIV,"Manassas Park City Public Schools",11,274
"2019 - 2020",DIV,"Manassas Park City Public Schools",12,237
"2019 - 2020",DIV,"Martinsville City Public Schools",,1930
"2019 - 2020",DIV,"Martinsville City Public Schools",PK,139
"2019 - 2020",DIV,"Martinsville City Public Schools",KG,119
"2019 - 2020",DIV,"Martinsville City Public Schools",01,122
"2019 - 2020",DIV,"Martinsville City Public Schools",02,139
"2019 - 2020",DIV,"Martinsville City Public Schools",03,142
"2019 - 2020",DIV,"Martinsville City Public Schools",04,141
"2019 - 2020",DIV,"Martinsville City Public Schools",05,151
"2019 - 2020",DIV,"Martinsville City Public Schools",06,136
"2019 - 2020",DIV,"Martinsville City Public Schools",07,150
"2019 - 2020",DIV,"Martinsville City Public Schools",08,139
"2019 - 2020",DIV,"Martinsville City Public Schools",09,144
"2019 - 2020",DIV,"Martinsville City Public Schools",10,138
"2019 - 2020",DIV,"Martinsville City Public Schools",11,144
"2019 - 2020",DIV,"Martinsville City Public Schools",12,126
"2019 - 2020",DIV,"Mathews County Public Schools",,1008
"2019 - 2020",DIV,"Mathews County Public Schools",PK,8
"2019 - 2020",DIV,"Mathews County Public Schools",KG,67
"2019 - 2020",DIV,"Mathews County Public Schools",01,67
"2019 - 2020",DIV,"Mathews County Public Schools",02,68
"2019 - 2020",DIV,"Mathews County Public Schools",03,71
"2019 - 2020",DIV,"Mathews County Public Schools",04,73
"2019 - 2020",DIV,"Mathews County Public Schools",05,79
"2019 - 2020",DIV,"Mathews County Public Schools",06,83
"2019 - 2020",DIV,"Mathews County Public Schools",07,90
"2019 - 2020",DIV,"Mathews County Public Schools",08,72
"2019 - 2020",DIV,"Mathews County Public Schools",09,92
"2019 - 2020",DIV,"Mathews County Public Schools",10,77
"2019 - 2020",DIV,"Mathews County Public Schools",11,68
"2019 - 2020",DIV,"Mathews County Public Schools",12,93
"2019 - 2020",DIV,"Mecklenburg County Public Schools",,4205
"2019 - 2020",DIV,"Mecklenburg County Public Schools",PK,194
"2019 - 2020",DIV,"Mecklenburg County Public Schools",KG,303
"2019 - 2020",DIV,"Mecklenburg County Public Schools",01,292
"2019 - 2020",DIV,"Mecklenburg County Public Schools",02,289
"2019 - 2020",DIV,"Mecklenburg County Public Schools",03,303
"2019 - 2020",DIV,"Mecklenburg County Public Schools",04,311
"2019 - 2020",DIV,"Mecklenburg County Public Schools",05,321
"2019 - 2020",DIV,"Mecklenburg County Public Schools",06,297
"2019 - 2020",DIV,"Mecklenburg County Public Schools",07,296
"2019 - 2020",DIV,"Mecklenburg County Public Schools",08,323
"2019 - 2020",DIV,"Mecklenburg County Public Schools",09,336
"2019 - 2020",DIV,"Mecklenburg County Public Schools",10,330
"2019 - 2020",DIV,"Mecklenburg County Public Schools",11,317
"2019 - 2020",DIV,"Mecklenburg County Public Schools",12,293
"2019 - 2020",DIV,"Middlesex County Public Schools",,1208
"2019 - 2020",DIV,"Middlesex County Public Schools",PK,61
"2019 - 2020",DIV,"Middlesex County Public Schools",KG,96
"2019 - 2020",DIV,"Middlesex County Public Schools",01,72
"2019 - 2020",DIV,"Middlesex County Public Schools",02,89
"2019 - 2020",DIV,"Middlesex County Public Schools",03,98
"2019 - 2020",DIV,"Middlesex County Public Schools",04,81
"2019 - 2020",DIV,"Middlesex County Public Schools",05,97
"2019 - 2020",DIV,"Middlesex County Public Schools",06,84
"2019 - 2020",DIV,"Middlesex County Public Schools",07,92
"2019 - 2020",DIV,"Middlesex County Public Schools",08,82
"2019 - 2020",DIV,"Middlesex County Public Schools",09,86
"2019 - 2020",DIV,"Middlesex County Public Schools",10,91
"2019 - 2020",DIV,"Middlesex County Public Schools",11,95
"2019 - 2020",DIV,"Middlesex County Public Schools",12,84
"2019 - 2020",DIV,"Montgomery County Public Schools",,10102
"2019 - 2020",DIV,"Montgomery County Public Schools",PK,286
"2019 - 2020",DIV,"Montgomery County Public Schools",KG,720
"2019 - 2020",DIV,"Montgomery County Public Schools",01,757
"2019 - 2020",DIV,"Montgomery County Public Schools",02,797
"2019 - 2020",DIV,"Montgomery County Public Schools",03,748
"2019 - 2020",DIV,"Montgomery County Public Schools",04,769
"2019 - 2020",DIV,"Montgomery County Public Schools",05,731
"2019 - 2020",DIV,"Montgomery County Public Schools",06,775
"2019 - 2020",DIV,"Montgomery County Public Schools",07,818
"2019 - 2020",DIV,"Montgomery County Public Schools",08,724
"2019 - 2020",DIV,"Montgomery County Public Schools",09,805
"2019 - 2020",DIV,"Montgomery County Public Schools",10,718
"2019 - 2020",DIV,"Montgomery County Public Schools",11,783
"2019 - 2020",DIV,"Montgomery County Public Schools",12,671
"2019 - 2020",DIV,"Nelson County Public Schools",,1695
"2019 - 2020",DIV,"Nelson County Public Schools",PK,42
"2019 - 2020",DIV,"Nelson County Public Schools",KG,98
"2019 - 2020",DIV,"Nelson County Public Schools",01,96
"2019 - 2020",DIV,"Nelson County Public Schools",02,122
"2019 - 2020",DIV,"Nelson County Public Schools",03,114
"2019 - 2020",DIV,"Nelson County Public Schools",04,116
"2019 - 2020",DIV,"Nelson County Public Schools",05,125
"2019 - 2020",DIV,"Nelson County Public Schools",06,128
"2019 - 2020",DIV,"Nelson County Public Schools",07,144
"2019 - 2020",DIV,"Nelson County Public Schools",08,136
"2019 - 2020",DIV,"Nelson County Public Schools",09,141
"2019 - 2020",DIV,"Nelson County Public Schools",10,158
"2019 - 2020",DIV,"Nelson County Public Schools",11,143
"2019 - 2020",DIV,"Nelson County Public Schools",12,132
"2019 - 2020",DIV,"New Kent County Public Schools",,3354
"2019 - 2020",DIV,"New Kent County Public Schools",PK,69
"2019 - 2020",DIV,"New Kent County Public Schools",KG,224
"2019 - 2020",DIV,"New Kent County Public Schools",01,235
"2019 - 2020",DIV,"New Kent County Public Schools",02,255
"2019 - 2020",DIV,"New Kent County Public Schools",03,242
"2019 - 2020",DIV,"New Kent County Public Schools",04,236
"2019 - 2020",DIV,"New Kent County Public Schools",05,260
"2019 - 2020",DIV,"New Kent County Public Schools",06,265
"2019 - 2020",DIV,"New Kent County Public Schools",07,280
"2019 - 2020",DIV,"New Kent County Public Schools",08,287
"2019 - 2020",DIV,"New Kent County Public Schools",09,290
"2019 - 2020",DIV,"New Kent County Public Schools",10,245
"2019 - 2020",DIV,"New Kent County Public Schools",11,237
"2019 - 2020",DIV,"New Kent County Public Schools",12,229
"2019 - 2020",DIV,"Newport News City Public Schools",,28655
"2019 - 2020",DIV,"Newport News City Public Schools",PK,1402
"2019 - 2020",DIV,"Newport News City Public Schools",KG,2242
"2019 - 2020",DIV,"Newport News City Public Schools",01,2181
"2019 - 2020",DIV,"Newport News City Public Schools",02,2189
"2019 - 2020",DIV,"Newport News City Public Schools",03,2159
"2019 - 2020",DIV,"Newport News City Public Schools",04,2208
"2019 - 2020",DIV,"Newport News City Public Schools",05,2185
"2019 - 2020",DIV,"Newport News City Public Schools",06,2151
"2019 - 2020",DIV,"Newport News City Public Schools",07,2185
"2019 - 2020",DIV,"Newport News City Public Schools",08,2046
"2019 - 2020",DIV,"Newport News City Public Schools",09,2286
"2019 - 2020",DIV,"Newport News City Public Schools",10,1953
"2019 - 2020",DIV,"Newport News City Public Schools",11,1708
"2019 - 2020",DIV,"Newport News City Public Schools",12,1760
"2019 - 2020",DIV,"Norfolk City Public Schools",,29851
"2019 - 2020",DIV,"Norfolk City Public Schools",PG,14
"2019 - 2020",DIV,"Norfolk City Public Schools",PK,1863
"2019 - 2020",DIV,"Norfolk City Public Schools",KG,2490
"2019 - 2020",DIV,"Norfolk City Public Schools",01,2437
"2019 - 2020",DIV,"Norfolk City Public Schools",02,2363
"2019 - 2020",DIV,"Norfolk City Public Schools",03,2316
"2019 - 2020",DIV,"Norfolk City Public Schools",04,2277
"2019 - 2020",DIV,"Norfolk City Public Schools",05,2279
"2019 - 2020",DIV,"Norfolk City Public Schools",06,2193
"2019 - 2020",DIV,"Norfolk City Public Schools",07,2158
"2019 - 2020",DIV,"Norfolk City Public Schools",08,1936
"2019 - 2020",DIV,"Norfolk City Public Schools",09,2776
"2019 - 2020",DIV,"Norfolk City Public Schools",10,1904
"2019 - 2020",DIV,"Norfolk City Public Schools",11,1230
"2019 - 2020",DIV,"Norfolk City Public Schools",12,1615
"2019 - 2020",DIV,"Northampton County Public Schools",,1520
"2019 - 2020",DIV,"Northampton County Public Schools",PK,74
"2019 - 2020",DIV,"Northampton County Public Schools",KG,115
"2019 - 2020",DIV,"Northampton County Public Schools",01,109
"2019 - 2020",DIV,"Northampton County Public Schools",02,92
"2019 - 2020",DIV,"Northampton County Public Schools",03,129
"2019 - 2020",DIV,"Northampton County Public Schools",04,115
"2019 - 2020",DIV,"Northampton County Public Schools",05,101
"2019 - 2020",DIV,"Northampton County Public Schools",06,113
"2019 - 2020",DIV,"Northampton County Public Schools",07,107
"2019 - 2020",DIV,"Northampton County Public Schools",08,128
"2019 - 2020",DIV,"Northampton County Public Schools",09,112
"2019 - 2020",DIV,"Northampton County Public Schools",10,122
"2019 - 2020",DIV,"Northampton County Public Schools",11,102
"2019 - 2020",DIV,"Northampton County Public Schools",12,101
"2019 - 2020",DIV,"Northumberland County Public Schools",,1279
"2019 - 2020",DIV,"Northumberland County Public Schools",PK,63
"2019 - 2020",DIV,"Northumberland County Public Schools",KG,81
"2019 - 2020",DIV,"Northumberland County Public Schools",01,100
"2019 - 2020",DIV,"Northumberland County Public Schools",02,79
"2019 - 2020",DIV,"Northumberland County Public Schools",03,97
"2019 - 2020",DIV,"Northumberland County Public Schools",04,89
"2019 - 2020",DIV,"Northumberland County Public Schools",05,92
"2019 - 2020",DIV,"Northumberland County Public Schools",06,94
"2019 - 2020",DIV,"Northumberland County Public Schools",07,81
"2019 - 2020",DIV,"Northumberland County Public Schools",08,93
"2019 - 2020",DIV,"Northumberland County Public Schools",09,110
"2019 - 2020",DIV,"Northumberland County Public Schools",10,103
"2019 - 2020",DIV,"Northumberland County Public Schools",11,87
"2019 - 2020",DIV,"Northumberland County Public Schools",12,110
"2019 - 2020",DIV,"Norton City Public Schools",,818
"2019 - 2020",DIV,"Norton City Public Schools",PK,34
"2019 - 2020",DIV,"Norton City Public Schools",KG,70
"2019 - 2020",DIV,"Norton City Public Schools",01,54
"2019 - 2020",DIV,"Norton City Public Schools",02,45
"2019 - 2020",DIV,"Norton City Public Schools",03,50
"2019 - 2020",DIV,"Norton City Public Schools",04,64
"2019 - 2020",DIV,"Norton City Public Schools",05,61
"2019 - 2020",DIV,"Norton City Public Schools",06,59
"2019 - 2020",DIV,"Norton City Public Schools",07,59
"2019 - 2020",DIV,"Norton City Public Schools",08,65
"2019 - 2020",DIV,"Norton City Public Schools",09,68
"2019 - 2020",DIV,"Norton City Public Schools",10,78
"2019 - 2020",DIV,"Norton City Public Schools",11,59
"2019 - 2020",DIV,"Norton City Public Schools",12,52
"2019 - 2020",DIV,"Nottoway County Public Schools",,1990
"2019 - 2020",DIV,"Nottoway County Public Schools",PK,80
"2019 - 2020",DIV,"Nottoway County Public Schools",KG,145
"2019 - 2020",DIV,"Nottoway County Public Schools",01,150
"2019 - 2020",DIV,"Nottoway County Public Schools",02,145
"2019 - 2020",DIV,"Nottoway County Public Schools",03,147
"2019 - 2020",DIV,"Nottoway County Public Schools",04,128
"2019 - 2020",DIV,"Nottoway County Public Schools",05,149
"2019 - 2020",DIV,"Nottoway County Public Schools",06,136
"2019 - 2020",DIV,"Nottoway County Public Schools",07,163
"2019 - 2020",DIV,"Nottoway County Public Schools",08,147
"2019 - 2020",DIV,"Nottoway County Public Schools",09,169
"2019 - 2020",DIV,"Nottoway County Public Schools",10,165
"2019 - 2020",DIV,"Nottoway County Public Schools",11,136
"2019 - 2020",DIV,"Nottoway County Public Schools",12,130
"2019 - 2020",DIV,"Orange County Public Schools",,5092
"2019 - 2020",DIV,"Orange County Public Schools",PK,227
"2019 - 2020",DIV,"Orange County Public Schools",KG,355
"2019 - 2020",DIV,"Orange County Public Schools",01,364
"2019 - 2020",DIV,"Orange County Public Schools",02,370
"2019 - 2020",DIV,"Orange County Public Schools",03,390
"2019 - 2020",DIV,"Orange County Public Schools",04,362
"2019 - 2020",DIV,"Orange County Public Schools",05,375
"2019 - 2020",DIV,"Orange County Public Schools",06,385
"2019 - 2020",DIV,"Orange County Public Schools",07,406
"2019 - 2020",DIV,"Orange County Public Schools",08,360
"2019 - 2020",DIV,"Orange County Public Schools",09,400
"2019 - 2020",DIV,"Orange County Public Schools",10,390
"2019 - 2020",DIV,"Orange County Public Schools",11,315
"2019 - 2020",DIV,"Orange County Public Schools",12,393
"2019 - 2020",DIV,"Page County Public Schools",,3354
"2019 - 2020",DIV,"Page County Public Schools",PK,98
"2019 - 2020",DIV,"Page County Public Schools",KG,234
"2019 - 2020",DIV,"Page County Public Schools",01,235
"2019 - 2020",DIV,"Page County Public Schools",02,228
"2019 - 2020",DIV,"Page County Public Schools",03,208
"2019 - 2020",DIV,"Page County Public Schools",04,219
"2019 - 2020",DIV,"Page County Public Schools",05,266
"2019 - 2020",DIV,"Page County Public Schools",06,260
"2019 - 2020",DIV,"Page County Public Schools",07,230
"2019 - 2020",DIV,"Page County Public Schools",08,282
"2019 - 2020",DIV,"Page County Public Schools",09,279
"2019 - 2020",DIV,"Page County Public Schools",10,296
"2019 - 2020",DIV,"Page County Public Schools",11,273
"2019 - 2020",DIV,"Page County Public Schools",12,246
"2019 - 2020",DIV,"Patrick County Public Schools",,2558
"2019 - 2020",DIV,"Patrick County Public Schools",PK,71
"2019 - 2020",DIV,"Patrick County Public Schools",KG,384
"2019 - 2020",DIV,"Patrick County Public Schools",01,230
"2019 - 2020",DIV,"Patrick County Public Schools",02,160
"2019 - 2020",DIV,"Patrick County Public Schools",03,171
"2019 - 2020",DIV,"Patrick County Public Schools",04,169
"2019 - 2020",DIV,"Patrick County Public Schools",05,147
"2019 - 2020",DIV,"Patrick County Public Schools",06,185
"2019 - 2020",DIV,"Patrick County Public Schools",07,168
"2019 - 2020",DIV,"Patrick County Public Schools",08,192
"2019 - 2020",DIV,"Patrick County Public Schools",09,188
"2019 - 2020",DIV,"Patrick County Public Schools",10,175
"2019 - 2020",DIV,"Patrick County Public Schools",11,181
"2019 - 2020",DIV,"Patrick County Public Schools",12,137
"2019 - 2020",DIV,"Petersburg City Public Schools",,4211
"2019 - 2020",DIV,"Petersburg City Public Schools",PK,392
"2019 - 2020",DIV,"Petersburg City Public Schools",KG,367
"2019 - 2020",DIV,"Petersburg City Public Schools",01,343
"2019 - 2020",DIV,"Petersburg City Public Schools",02,327
"2019 - 2020",DIV,"Petersburg City Public Schools",03,352
"2019 - 2020",DIV,"Petersburg City Public Schools",04,324
"2019 - 2020",DIV,"Petersburg City Public Schools",05,326
"2019 - 2020",DIV,"Petersburg City Public Schools",06,282
"2019 - 2020",DIV,"Petersburg City Public Schools",07,292
"2019 - 2020",DIV,"Petersburg City Public Schools",08,256
"2019 - 2020",DIV,"Petersburg City Public Schools",09,269
"2019 - 2020",DIV,"Petersburg City Public Schools",10,233
"2019 - 2020",DIV,"Petersburg City Public Schools",11,198
"2019 - 2020",DIV,"Petersburg City Public Schools",12,250
"2019 - 2020",DIV,"Pittsylvania County Public Schools",,8723
"2019 - 2020",DIV,"Pittsylvania County Public Schools",PK,298
"2019 - 2020",DIV,"Pittsylvania County Public Schools",KG,547
"2019 - 2020",DIV,"Pittsylvania County Public Schools",01,566
"2019 - 2020",DIV,"Pittsylvania County Public Schools",02,587
"2019 - 2020",DIV,"Pittsylvania County Public Schools",03,612
"2019 - 2020",DIV,"Pittsylvania County Public Schools",04,584
"2019 - 2020",DIV,"Pittsylvania County Public Schools",05,653
"2019 - 2020",DIV,"Pittsylvania County Public Schools",06,713
"2019 - 2020",DIV,"Pittsylvania County Public Schools",07,671
"2019 - 2020",DIV,"Pittsylvania County Public Schools",08,724
"2019 - 2020",DIV,"Pittsylvania County Public Schools",09,776
"2019 - 2020",DIV,"Pittsylvania County Public Schools",10,690
"2019 - 2020",DIV,"Pittsylvania County Public Schools",11,627
"2019 - 2020",DIV,"Pittsylvania County Public Schools",12,675
