Enrollment
7/14/2020

Year,Level,Division,Grade,Count
"2019 - 2020",DIV,"Buchanan County Public Schools",06,204
"2019 - 2020",DIV,"Buchanan County Public Schools",07,179
"2019 - 2020",DIV,"Buchanan County Public Schools",08,209
"2019 - 2020",DIV,"Buchanan County Public Schools",09,203
"2019 - 2020",DIV,"Buchanan County Public Schools",10,212
"2019 - 2020",DIV,"Buchanan County Public Schools",11,211
"2019 - 2020",DIV,"Buchanan County Public Schools",12,216
"2019 - 2020",DIV,"Buckingham County Public Schools",,2113
"2019 - 2020",DIV,"Buckingham County Public Schools",PK,111
"2019 - 2020",DIV,"Buckingham County Public Schools",KG,144
"2019 - 2020",DIV,"Buckingham County Public Schools",01,152
"2019 - 2020",DIV,"Buckingham County Public Schools",02,156
"2019 - 2020",DIV,"Buckingham County Public Schools",03,154
"2019 - 2020",DIV,"Buckingham County Public Schools",04,159
"2019 - 2020",DIV,"Buckingham County Public Schools",05,170
"2019 - 2020",DIV,"Buckingham County Public Schools",06,176
"2019 - 2020",DIV,"Buckingham County Public Schools",07,168
"2019 - 2020",DIV,"Buckingham County Public Schools",08,150
"2019 - 2020",DIV,"Buckingham County Public Schools",09,161
"2019 - 2020",DIV,"Buckingham County Public Schools",10,134
"2019 - 2020",DIV,"Buckingham County Public Schools",11,139
"2019 - 2020",DIV,"Buckingham County Public Schools",12,139
"2019 - 2020",DIV,"Buena Vista City Public Schools",,895
"2019 - 2020",DIV,"Buena Vista City Public Schools",PK,50
"2019 - 2020",DIV,"Buena Vista City Public Schools",KG,62
"2019 - 2020",DIV,"Buena Vista City Public Schools",01,61
"2019 - 2020",DIV,"Buena Vista City Public Schools",02,65
"2019 - 2020",DIV,"Buena Vista City Public Schools",03,55
"2019 - 2020",DIV,"Buena Vista City Public Schools",04,55
"2019 - 2020",DIV,"Buena Vista City Public Schools",05,67
"2019 - 2020",DIV,"Buena Vista City Public Schools",06,63
"2019 - 2020",DIV,"Buena Vista City Public Schools",07,62
"2019 - 2020",DIV,"Buena Vista City Public Schools",08,57
"2019 - 2020",DIV,"Buena Vista City Public Schools",09,80
"2019 - 2020",DIV,"Buena Vista City Public Schools",10,81
"2019 - 2020",DIV,"Buena Vista City Public Schools",11,75
"2019 - 2020",DIV,"Buena Vista City Public Schools",12,62
"2019 - 2020",DIV,"Campbell County Public Schools",,7921
"2019 - 2020",DIV,"Campbell County Public Schools",PK,250
"2019 - 2020",DIV,"Campbell County Public Schools",KG,533
"2019 - 2020",DIV,"Campbell County Public Schools",01,569
"2019 - 2020",DIV,"Campbell County Public Schools",02,554
"2019 - 2020",DIV,"Campbell County Public Schools",03,572
"2019 - 2020",DIV,"Campbell County Public Schools",04,600
"2019 - 2020",DIV,"Campbell County Public Schools",05,583
"2019 - 2020",DIV,"Campbell County Public Schools",06,619
"2019 - 2020",DIV,"Campbell County Public Schools",07,656
"2019 - 2020",DIV,"Campbell County Public Schools",08,593
"2019 - 2020",DIV,"Campbell County Public Schools",09,580
"2019 - 2020",DIV,"Campbell County Public Schools",10,648
"2019 - 2020",DIV,"Campbell County Public Schools",11,568
"2019 - 2020",DIV,"Campbell County Public Schools",12,596
"2019 - 2020",DIV,"Caroline County Public Schools",,4253
"2019 - 2020",DIV,"Caroline County Public Schools",PK,122
"2019 - 2020",DIV,"Caroline County Public Schools",KG,353
"2019 - 2020",DIV,"Caroline County Public Schools",01,448
"2019 - 2020",DIV,"Caroline County Public Schools",02,320
"2019 - 2020",DIV,"Caroline County Public Schools",03,258
"2019 - 2020",DIV,"Caroline County Public Schools",04,320
"2019 - 2020",DIV,"Caroline County Public Schools",05,328
"2019 - 2020",DIV,"Caroline County Public Schools",06,320
"2019 - 2020",DIV,"Caroline County Public Schools",07,309
"2019 - 2020",DIV,"Caroline County Public Schools",08,314
"2019 - 2020",DIV,"Caroline County Public Schools",09,345
"2019 - 2020",DIV,"Caroline County Public Schools",10,294
"2019 - 2020",DIV,"Caroline County Public Schools",11,254
"2019 - 2020",DIV,"Caroline County Public Schools",12,268
"2019 - 2020",DIV,"Carroll County Public Schools",,3713
"2019 - 2020",DIV,"Carroll County Public Schools",PK,150
"2019 - 2020",DIV,"Carroll County Public Schools",KG,264
"2019 - 2020",DIV,"Carroll County Public Schools",01,280
"2019 - 2020",DIV,"Carroll County Public Schools",02,268
"2019 - 2020",DIV,"Carroll County Public Schools",03,261
"2019 - 2020",DIV,"Carroll County Public Schools",04,253
"2019 - 2020",DIV,"Carroll County Public Schools",05,294
"2019 - 2020",DIV,"Carroll County Public Schools",06,290
"2019 - 2020",DIV,"Carroll County Public Schools",07,279
"2019 - 2020",DIV,"Carroll County Public Schools",08,276
"2019 - 2020",DIV,"Carroll County Public Schools",09,309
"2019 - 2020",DIV,"Carroll County Public Schools",10,262
"2019 - 2020",DIV,"Carroll County Public Schools",11,260
"2019 - 2020",DIV,"Carroll County Public Schools",12,267
"2019 - 2020",DIV,"Charles City County Public Schools",,620
"2019 - 2020",DIV,"Charles City County Public Schools",PK,32
"2019 - 2020",DIV,"Charles City County Public Schools",KG,56
"2019 - 2020",DIV,"Charles City County Public Schools",01,40
"2019 - 2020",DIV,"Charles City County Public Schools",02,52
"2019 - 2020",DIV,"Charles City County Public Schools",03,41
"2019 - 2020",DIV,"Charles City County Public Schools",04,48
"2019 - 2020",DIV,"Charles City County Public Schools",05,42
"2019 - 2020",DIV,"Charles City County Public Schools",06,36
"2019 - 2020",DIV,"Charles City County Public Schools",07,34
"2019 - 2020",DIV,"Charles City County Public Schools",08,49
"2019 - 2020",DIV,"Charles City County Public Schools",09,61
"2019 - 2020",DIV,"Charles City County Public Schools",10,34
"2019 - 2020",DIV,"Charles City County Public Schools",11,49
"2019 - 2020",DIV,"Charles City County Public Schools",12,46
"2019 - 2020",DIV,"Charlotte County Public Schools",,1763
